run_date,repository,referrer,total,unique
2026-06-27,datf/datf,github.com,4,1
2026-06-28,datf/datf,github.com,4,1
2026-06-29,datf/datf,github.com,4,1
2026-06-30,datf/datf,github.com,4,1
2026-07-01,datf/datf,github.com,4,1
2026-07-02,datf/datf,github.com,4,1
2026-07-03,datf/datf,github.com,4,1
2026-07-04,datf/datf,github.com,4,1
2026-07-05,datf/datf,github.com,4,1
2026-07-06,datf/datf,github.com,4,1
2026-07-07,datf/datf,github.com,4,1
2026-07-08,datf/datf,github.com,4,1
2026-07-09,datf/datf,github.com,4,1
2026-07-10,datf/datf,github.com,4,1
2026-07-12,datf/test-svg-animations-on-github,github.com,1,1
2026-07-13,datf/test-svg-animations-on-github,github.com,1,1
