date,repository,views_total,views_unique,clones_total,clones_unique
2026-06-04,datf/BakkesmodPluginTemplateV2,0,0,2,2
2026-06-05,datf/BakkesmodPluginTemplateV2,0,0,0,0
2026-06-06,datf/BakkesmodPluginTemplateV2,0,0,0,0
2026-06-07,datf/BakkesmodPluginTemplateV2,0,0,0,0
2026-06-08,datf/BakkesmodPluginTemplateV2,0,0,0,0
2026-06-09,datf/BakkesmodPluginTemplateV2,0,0,0,0
2026-06-10,datf/BakkesmodPluginTemplateV2,0,0,1,1
2026-06-11,datf/BakkesmodPluginTemplateV2,0,0,0,0
2026-06-12,datf/BakkesmodPluginTemplateV2,0,0,0,0
2026-06-13,datf/BakkesmodPluginTemplateV2,0,0,1,1
2026-06-14,datf/BakkesmodPluginTemplateV2,0,0,0,0
2026-06-15,datf/BakkesmodPluginTemplateV2,0,0,0,0
2026-06-16,datf/BakkesmodPluginTemplateV2,0,0,0,0
2026-06-17,datf/BakkesmodPluginTemplateV2,0,0,0,0
2026-06-18,datf/BakkesmodPluginTemplateV2,0,0,0,0
2026-06-19,datf/BakkesmodPluginTemplateV2,0,0,0,0
2026-06-20,datf/BakkesmodPluginTemplateV2,0,0,1,1
2026-06-21,datf/BakkesmodPluginTemplateV2,0,0,0,0
2026-06-04,datf/ChatForMe,0,0,1,1
2026-06-05,datf/ChatForMe,0,0,1,1
2026-06-06,datf/ChatForMe,0,0,0,0
2026-06-07,datf/ChatForMe,0,0,0,0
2026-06-08,datf/ChatForMe,0,0,0,0
2026-06-09,datf/ChatForMe,0,0,0,0
2026-06-10,datf/ChatForMe,0,0,0,0
2026-06-11,datf/ChatForMe,0,0,0,0
2026-06-12,datf/ChatForMe,0,0,0,0
2026-06-13,datf/ChatForMe,0,0,0,0
2026-06-14,datf/ChatForMe,0,0,0,0
2026-06-15,datf/ChatForMe,0,0,0,0
2026-06-16,datf/ChatForMe,0,0,0,0
2026-06-17,datf/ChatForMe,0,0,0,0
2026-06-18,datf/ChatForMe,0,0,0,0
2026-06-19,datf/ChatForMe,0,0,1,1
